,Rank,Bank_name,Market_cap_US_billion,Market_cap_GBP_billion,Market_cap_EUR_billion,Market_cap_INR_billion
0,1,JPMorgan Chase,599.931,474.62,569.95,50677.7
1,2,Bank of America,307.900,243.58,292.51,26009.1
2,3,Industrial and Commercial Bank of China,303.543,240.14,288.37,25641.05
3,4,Agricultural Bank of China,232.836,184.2,221.2,19668.25
4,5,Bank of China,209.295,165.58,198.84,17679.68
5,6,China Construction Bank,192.715,152.46,183.08,16279.13
6,7,Wells Fargo,192.279,152.12,182.67,16242.3
7,8,HSBC,163.544,129.38,155.37,13814.98
8,9,Commonwealth Bank,156.639,123.92,148.81,13231.69
9,10,Goldman Sachs,156.356,123.7,148.54,13207.79
10,,Royal Bank of Canada,,0.0,0.0,0.0
11,,Morgan Stanley,,0.0,0.0,0.0
